Ordem,ID,Nome,WhatsApp,Email,UF,Cidade,Segmento,Orcamento,Prazo,Score,Status,Motivos_resumo,Motor_score,Modelo_score,Probabilidade_qualificado,Score_calculado_em
1,6a154f58-ac7b-46f7-88a5-9c29c4a802cd,Felipe Leite 0162,5511937711007,lead.demo.1771182195795.0162@exemplo.com,SP,Sao Jose dos Campos,SERVICOS,5k-20k,90d,96,ENVIADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,84.3%,2026-02-15T19:03:15.582Z
2,b753bb24-ec17-474d-af1d-9aafe088194e,Lead Demo QUALIFICADO 20260217161204-1,-,lead.demo.qualificado.17713447241926481@exemplo.com,MG,Belo Horizonte,CAVALOS,60k+,7d,95,QUALIFICADO,Modelo ML +45 - best_model: probabilidade prevista de qualificacao = 95% | Hook concluido +12 - Sinal forte de intencao | CTA/WhatsApp +14 - Lead demonstrou interesse ativo | Regiao foco +4 - Lead em territorio prioritario | Orcamento informado +6 - 60k+,ML,best_model,95.2%,2026-02-17T16:15:53.034Z
3,a0180cb6-b8ad-4447-a106-d90346a5100f,Lead Demo AQUECENDO 20260217161149-1,-,lead.demo.aquecendo.17713447095291193@exemplo.com,SP,Sao Paulo,SERVICOS,20k-60k,30d,56,AQUECENDO,Modelo ML +6 - best_model: probabilidade prevista de qualificacao = 56% | CTA/WhatsApp +14 - Lead demonstrou interesse ativo | Regiao foco +4 - Lead em territorio prioritario | Orcamento informado +6 - 20k-60k,ML,best_model,55.6%,2026-02-17T16:15:38.593Z
4,b813f5d1-7e9f-45ad-9393-df42c81a595d,Renata Mendes 0146,5511989387175,lead.demo.1771182195775.0146@exemplo.com,SP,Campinas,CAVALOS,5k-20k,90d,44,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,19.0%,2026-02-15T19:03:15.582Z
5,ae4568be-47b7-4fdf-a558-cd94227350b0,Visitante Demo,-,landresouza39@gmail.com,SP,São Paulo,CAVALOS,60k+,90d,24,CURIOSO,Modelo ML -26 - best_model: probabilidade prevista de qualificacao = 24% | Hook concluido +12 - Sinal forte de intencao | CTA/WhatsApp +14 - Lead demonstrou interesse ativo | Regiao foco +4 - Lead em territorio prioritario | Orcamento informado +6 - 60k+,ML,best_model,24.0%,2026-02-16T21:15:25.727Z
6,164f8f6e-2250-4f3e-9247-166db5e950a6,Joana Dark,5511985623478,joana_d@gmail.com,SP,Salto,CAVALOS,20k-60k,90d,24,CURIOSO,Modelo ML -26 - best_model: probabilidade prevista de qualificacao = 24% | Hook concluido +12 - Sinal forte de intencao | CTA/WhatsApp +14 - Lead demonstrou interesse ativo | Regiao foco +4 - Lead em territorio prioritario | Orcamento informado +6 - 20k-60k,ML,best_model,24.0%,2026-02-16T20:55:41.427Z
7,8acadf88-6ce5-4480-b6c8-ee9fb3dae07d,Lucas Duarte 0038,5511970128836,-,SP,Sao Jose dos Campos,EQUIPAMENTOS,5k-20k,90d,85,QUALIFICADO,Modelo ML +35 - best_model: probabilidade prevista de qualificacao = 85% | Hook concluido +12 - Sinal forte de intencao | CTA/WhatsApp +14 - Lead demonstrou interesse ativo | Navegacao +8 - Engajamento consistente no funil | Regiao foco +4 - Lead em territorio prioritario,ML,best_model,85.1%,2026-02-16T16:55:39.462Z
8,ac1db6e0-9590-4dfb-8e9d-e4b1a06be3a6,Andre Martins 0143,5511933830309,lead.demo.1771182195773.0143@exemplo.com,SP,Sorocaba,EVENTOS,0-5k,30d,48,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,67.7%,2026-02-15T19:03:15.582Z
9,8f3c14a3-d3e3-47f3-b7fa-99283cab7d69,Gustavo Ribeiro 0031,5562933028370,lead.demo.1771182195629.0031@exemplo.com,GO,Goiania,EVENTOS,0-5k,90d,35,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,25.0%,2026-02-15T19:03:15.582Z
10,462f94e9-44bc-4220-ba1f-e836455e91da,Renata Azevedo 0350,5511961744077,lead.demo.1771182196027.0350@exemplo.com,SP,Campinas,EVENTOS,0-5k,7d,68,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,38.2%,2026-02-15T19:03:15.582Z
11,1c47d9aa-51d5-4eb1-96b4-08f1762078fe,Gustavo Azevedo 0149,5511961278640,lead.demo.1771182195778.0149@exemplo.com,SP,Ribeirao Preto,CAVALOS,20k-60k,30d,37,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,13.4%,2026-02-15T19:03:15.582Z
12,2fea241f-b6b5-4606-8b94-f7a0e2c8030e,Larissa Ribeiro 0197,5562913799977,lead.demo.1771182195842.0197@exemplo.com,GO,Jatai,SERVICOS,5k-20k,7d,68,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,66.8%,2026-02-15T19:03:15.582Z
13,74d08673-5392-474e-b48b-c49aa420feab,Carla Duarte 0317,5511954170621,lead.demo.1771182195987.0317@exemplo.com,SP,Campinas,SERVICOS,20k-60k,30d,61,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,63.1%,2026-02-15T19:03:15.582Z
14,d63b51ef-8aa9-4221-bc6b-7a7dbe629f3d,Felipe Duarte 0406,-,lead.demo.1771182196087.0406@exemplo.com,SP,Sao Jose dos Campos,SERVICOS,5k-20k,90d,54,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,64.5%,2026-02-15T19:03:15.582Z
15,e6641d54-1e4a-43a7-9428-264ec12a6caa,Juliana Melo 0388,5511923200643,lead.demo.1771182196067.0388@exemplo.com,SP,Sao Paulo,EQUIPAMENTOS,5k-20k,90d,28,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,32.3%,2026-02-15T19:03:15.582Z
16,8d8eab1d-945a-4e5e-b61f-00b7a41c217f,Juliana Rocha 0371,5531997969468,lead.demo.1771182196048.0371@exemplo.com,MG,Belo Horizonte,SERVICOS,5k-20k,90d,34,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,32.0%,2026-02-15T19:03:15.582Z
17,ed278663-1f6a-4f2b-ba16-f1235aa3099d,Mariana Leite 0344,5511996337235,lead.demo.1771182196020.0344@exemplo.com,SP,Ribeirao Preto,CAVALOS,60k+,90d,89,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,82.2%,2026-02-15T19:03:15.582Z
18,a977a101-a99b-404c-bc28-5b2e62b088db,Patricia Martins 0050,5531979502912,lead.demo.1771182195652.0050@exemplo.com,MG,Juiz de Fora,EQUIPAMENTOS,20k-60k,7d,20,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,21.9%,2026-02-15T19:03:15.582Z
19,aff67b3d-bbb1-4790-9a44-eed93885f9eb,Rodrigo Duarte 0383,5511946081742,lead.demo.1771182196061.0383@exemplo.com,SP,Sorocaba,CAVALOS,0-5k,30d,42,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,13.8%,2026-02-15T19:03:15.582Z
20,eb3c6bcb-f5cb-4c0d-ab6e-3e2de85714b2,Lucas Fernandes 0434,5531911009356,lead.demo.1771182196116.0434@exemplo.com,MG,Contagem,EQUIPAMENTOS,5k-20k,30d,87,ENVIADO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,83.2%,2026-02-15T19:03:15.582Z
21,23130252-be8f-40a8-9428-ec9ec541b32a,Larissa Ribeiro 0042,5562991401171,lead.demo.1771182195641.0042@exemplo.com,GO,Rio Verde,SERVICOS,60k+,7d,91,ENVIADO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,92.6%,2026-02-15T19:03:15.582Z
22,53ae93e7-1252-4827-bba2-e01dff9934e3,Camila Costa 0393,5511980413415,lead.demo.1771182196072.0393@exemplo.com,SP,Campinas,CAVALOS,0-5k,30d,59,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,37.9%,2026-02-15T19:03:15.582Z
23,ebabbc30-87a7-4126-b98c-aee8fb2dbf08,Thiago Martins 0207,5531910075608,lead.demo.1771182195855.0207@exemplo.com,MG,Montes Claros,EVENTOS,0-5k,90d,26,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,33.8%,2026-02-15T19:03:15.582Z
24,74f3a5c1-b765-4f6e-922c-a19330dd53b5,Renata Almeida 0150,-,lead.demo.1771182195779.0150@exemplo.com,GO,Jatai,SERVICOS,60k+,90d,73,QUALIFICADO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,70.9%,2026-02-15T19:03:15.582Z
25,ba2b20e2-7f30-4e82-8435-c85256605be4,Diego Almeida 0205,5531957525783,lead.demo.1771182195853.0205@exemplo.com,MG,Uberlandia,SERVICOS,5k-20k,30d,58,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,40.7%,2026-02-15T19:03:15.582Z
26,04f7291a-080f-424e-bc71-a86eb259f705,Diego Pires 0367,5531926538266,lead.demo.1771182196045.0367@exemplo.com,MG,Montes Claros,EQUIPAMENTOS,0-5k,90d,41,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,33.8%,2026-02-15T19:03:15.582Z
27,fc07b8aa-b0cf-4ab8-b447-cd1118cc5f20,Andre Almeida 0077,5562933761688,lead.demo.1771182195686.0077@exemplo.com,GO,Rio Verde,SERVICOS,20k-60k,7d,40,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,12.9%,2026-02-15T19:03:15.582Z
28,dc2fa827-092f-4855-8fa3-f10444d206e1,Eduardo Pires 0356,5562927518384,lead.demo.1771182196035.0356@exemplo.com,GO,Goiania,EQUIPAMENTOS,0-5k,30d,28,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,29.7%,2026-02-15T19:03:15.582Z
29,047783f0-f648-467e-8eef-4ce9fdd57ebc,Aline Fernandes 0246,5562961735940,-,GO,Aparecida de Goiania,CAVALOS,60k+,90d,63,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,38.1%,2026-02-15T19:03:15.582Z
30,c9d2ca5d-8555-4e19-90d0-510553d53e65,Mariana Teixeira 0134,5562988241838,lead.demo.1771182195761.0134@exemplo.com,GO,Goiania,SERVICOS,5k-20k,90d,59,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,56.3%,2026-02-15T19:03:15.582Z
31,e0bb830d-516d-4136-962f-384e3b7f63e2,Andre Ribeiro 0120,5562936841780,lead.demo.1771182195744.0120@exemplo.com,GO,Jatai,EVENTOS,5k-20k,90d,47,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,54.8%,2026-02-15T19:03:15.582Z
32,2a18ab7f-fe0c-42d0-972d-d08b870676ed,Felipe Carvalho 0013,5511913363144,-,SP,Sao Jose dos Campos,SERVICOS,5k-20k,7d,18,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,12.3%,2026-02-15T19:03:15.582Z
33,53a0b80d-f294-404a-be4d-92fcba9cc262,Andre Martins 0139,5562925660571,lead.demo.1771182195768.0139@exemplo.com,GO,Aparecida de Goiania,CAVALOS,60k+,90d,62,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,44.4%,2026-02-15T19:03:15.582Z
34,0315272a-e05f-482f-a751-aebf82724b58,Andre Almeida 0352,5511938744383,lead.demo.1771182196031.0352@exemplo.com,SP,Sorocaba,EVENTOS,20k-60k,7d,27,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,13.2%,2026-02-15T19:03:15.582Z
35,c71c207f-c438-4f98-98c7-4e3152c268a7,Andre Fernandes 0094,5531927344945,-,MG,Belo Horizonte,EVENTOS,60k+,7d,35,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,15.5%,2026-02-15T19:03:15.582Z
36,12a32c85-f645-43ba-9897-ec3d5734ec2d,Rafael Rocha 0263,5531941249149,lead.demo.1771182195925.0263@exemplo.com,MG,Juiz de Fora,CAVALOS,0-5k,7d,39,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,26.4%,2026-02-15T19:03:15.582Z
37,0ccf6e29-f5dd-4cfa-adea-fcdf9fea2e2e,Rafael Santana 0161,5531981835884,lead.demo.1771182195794.0161@exemplo.com,MG,Belo Horizonte,EVENTOS,0-5k,7d,50,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,54.6%,2026-02-15T19:03:15.582Z
38,3561430b-2492-4d22-9e5c-0cd062efea02,Vanessa Rocha 0151,-,lead.demo.1771182195782.0151@exemplo.com,MG,Belo Horizonte,SERVICOS,5k-20k,90d,78,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,82.6%,2026-02-15T19:03:15.582Z
39,d54ef869-d3e8-43d4-bd88-58738e9f77a0,Carla Fernandes 0175,5511919979693,lead.demo.1771182195813.0175@exemplo.com,SP,Sao Jose dos Campos,SERVICOS,60k+,30d,80,QUALIFICADO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,76.9%,2026-02-15T19:03:15.582Z
40,12f5b196-bf92-497e-8d00-edfb4fff3b3d,Larissa Fernandes 0073,5562999095201,lead.demo.1771182195681.0073@exemplo.com,GO,Aparecida de Goiania,EQUIPAMENTOS,5k-20k,7d,67,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,37.8%,2026-02-15T19:03:15.582Z
41,3b17cdf2-727a-4457-bf5d-2496431e7519,Bianca Martins 0089,-,lead.demo.1771182195703.0089@exemplo.com,SP,Campinas,CAVALOS,20k-60k,7d,95,ENVIADO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: ENVIADO,synthetic_seed,seed_generator_v1,84.2%,2026-02-15T19:03:15.582Z
42,a04ef7cb-8fa3-4ccf-a04e-e2b17095b96a,Eduardo Mendes 0102,5531981814843,lead.demo.1771182195718.0102@exemplo.com,MG,Uberlandia,EQUIPAMENTOS,0-5k,30d,39,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,15.6%,2026-02-15T19:03:15.582Z
43,ceac1448-d7b2-4179-aabc-1ba701e2c999,Juliana Almeida 0419,5562971951751,-,GO,Aparecida de Goiania,CAVALOS,5k-20k,7d,61,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,66.6%,2026-02-15T19:03:15.582Z
44,d086ff01-cd5f-4dbc-8464-e0eabe304e41,Aline Nogueira 0211,-,lead.demo.1771182195859.0211@exemplo.com,MG,Montes Claros,CAVALOS,60k+,90d,24,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,30.7%,2026-02-15T19:03:15.582Z
45,2f09bc7b-0441-43fa-b6bb-2be1aa89d82b,Renata Martins 0245,5531990035280,lead.demo.1771182195899.0245@exemplo.com,MG,Contagem,SERVICOS,0-5k,30d,75,QUALIFICADO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +12 - Status alvo: QUALIFICADO,synthetic_seed,seed_generator_v1,70.5%,2026-02-15T19:03:15.582Z
46,336e82aa-4e71-4938-8431-de95de6805d4,Patricia Martins 0237,-,lead.demo.1771182195890.0237@exemplo.com,GO,Rio Verde,EQUIPAMENTOS,60k+,90d,38,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,24.6%,2026-02-15T19:03:15.582Z
47,ca8ea7ae-f264-4bc2-bee2-f711c9c794a3,Diego Pires 0040,5511969238291,lead.demo.1771182195640.0040@exemplo.com,SP,Sao Jose dos Campos,EQUIPAMENTOS,60k+,90d,39,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,6.2%,2026-02-15T19:03:15.582Z
48,4161410d-274c-4f3f-9139-8cf9b4225cbe,Lucas Freitas 0091,5562961901193,lead.demo.1771182195707.0091@exemplo.com,GO,Rio Verde,SERVICOS,0-5k,30d,45,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,56.7%,2026-02-15T19:03:15.582Z
49,1340261a-89db-4ed8-b836-105f2ead8a2e,Andre Duarte 0345,5531961232641,lead.demo.1771182196021.0345@exemplo.com,MG,Juiz de Fora,SERVICOS,0-5k,90d,18,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,29.1%,2026-02-15T19:03:15.582Z
50,b6c1cd58-2828-4bd9-862f-8f273af4dd6c,Patricia Melo 0080,-,-,GO,Jatai,EQUIPAMENTOS,60k+,90d,61,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,60.5%,2026-02-15T19:03:15.582Z
51,38e5a16c-0899-48f2-81f0-6ed06e0c4f06,Felipe Melo 0229,5511974223898,lead.demo.1771182195880.0229@exemplo.com,SP,Sao Jose dos Campos,EQUIPAMENTOS,5k-20k,7d,30,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,28.9%,2026-02-15T19:03:15.582Z
52,ff914b7d-485a-4b47-9287-b1a11c7207cd,Patricia Martins 0045,5511950467047,lead.demo.1771182195644.0045@exemplo.com,SP,Sao Jose dos Campos,EQUIPAMENTOS,5k-20k,90d,57,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,36.5%,2026-02-15T19:03:15.582Z
53,0461f8ea-4e4b-46fb-b5b1-957406a60ef7,Eduardo Pires 0222,5511987437324,lead.demo.1771182195873.0222@exemplo.com,SP,Sao Paulo,CAVALOS,20k-60k,7d,19,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,32.0%,2026-02-15T19:03:15.582Z
54,6eacd06a-f77c-4de4-b7c6-4bb8a91e17c9,Mariana Rocha 0399,5511939782336,lead.demo.1771182196079.0399@exemplo.com,SP,Sao Paulo,EQUIPAMENTOS,5k-20k,30d,55,AQUECENDO,Regiao foco +4 - UF SP | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,61.3%,2026-02-15T19:03:15.582Z
55,5fd8db63-d677-4c74-88a4-825c730ea277,Aline Barros 0410,5562986634714,lead.demo.1771182196092.0410@exemplo.com,GO,Goiania,EQUIPAMENTOS,60k+,30d,40,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,19.6%,2026-02-15T19:03:15.582Z
56,0160c217-52c1-403f-a8a3-c2b857377d87,Thiago Ribeiro 0243,5531936877265,lead.demo.1771182195897.0243@exemplo.com,MG,Contagem,EVENTOS,60k+,7d,40,CURIOSO,Regiao foco +4 - UF MG | Orcamento informado +6 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,6.7%,2026-02-15T19:03:15.582Z
57,e3c48f5c-c153-48d1-a001-11551fd0f8d1,Larissa Carvalho 0167,5562971052399,lead.demo.1771182195800.0167@exemplo.com,GO,Anapolis,SERVICOS,20k-60k,30d,21,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,25.7%,2026-02-15T19:03:15.582Z
58,d84bb138-24ad-4d77-916b-9779f33f7a37,Lucas Carvalho 0338,5531931602182,-,MG,Montes Claros,EQUIPAMENTOS,60k+,90d,59,AQUECENDO,Regiao foco +4 - UF MG | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,52.0%,2026-02-15T19:03:15.582Z
59,0898a19a-41bb-4d58-99dc-fd6c8bfeac72,Rodrigo Duarte 0033,5511977193935,-,SP,Campinas,CAVALOS,5k-20k,7d,37,CURIOSO,Regiao foco +4 - UF SP | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,13.6%,2026-02-15T19:03:15.582Z
60,22ae8755-70af-4777-afe3-19e6717b09fd,Felipe Mendes 0166,5562918571591,lead.demo.1771182195800.0166@exemplo.com,GO,Aparecida de Goiania,EVENTOS,5k-20k,7d,60,AQUECENDO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: AQUECENDO,synthetic_seed,seed_generator_v1,57.5%,2026-02-15T19:03:15.582Z
61,2790086d-2838-4d26-a202-0e50f237ad94,Rafael Fernandes 0422,5562968486583,lead.demo.1771182196105.0422@exemplo.com,GO,Rio Verde,EVENTOS,0-5k,7d,24,CURIOSO,Regiao foco +3 - UF GO | Orcamento informado +3 - Perfil sintetico para treino | Sinal de intencao +4 - Status alvo: CURIOSO,synthetic_seed,seed_generator_v1,32.5%,2026-02-15T19:03:15.582Z
